#ZVView-data-copy:  10-Nov-2015 14:42:01
#=======================================
#
#name:   6-C-0(N,TOT),,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  3
#ldata:  2444
#data...
#            X            Y         +-dY  # Comments...
#          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
        1.1553       2.4536     0.034943  # 2001,W.P.Abfalterer+     ## 13794002
        1.1572       2.2973     0.033153  # 2001,W.P.Abfalterer+     ## 13794002
        1.1592       2.4076      0.03405  # 2001,W.P.Abfalterer+     ## 13794002
        1.1611       2.3432     0.033099  # 2001,W.P.Abfalterer+     ## 13794002
        1.1631       2.3392     0.032727  # 2001,W.P.Abfalterer+     ## 13794002
         1.165       2.3277     0.032435  # 2001,W.P.Abfalterer+     ## 13794002
         1.167       2.2984      0.03276  # 2001,W.P.Abfalterer+     ## 13794002
         1.169       2.2733     0.032087  # 2001,W.P.Abfalterer+     ## 13794002
         1.171       2.3637     0.032494  # 2001,W.P.Abfalterer+     ## 13794002
        1.1729       2.2905     0.031946  # 2001,W.P.Abfalterer+     ## 13794002
        1.1749       2.3367     0.032218  # 2001,W.P.Abfalterer+     ## 13794002
        1.1769       2.3884      0.03241  # 2001,W.P.Abfalterer+     ## 13794002
        1.1789       2.3637     0.032187  # 2001,W.P.Abfalterer+     ## 13794002
        1.1809       2.2995     0.031422  # 2001,W.P.Abfalterer+     ## 13794002
        1.1829       2.3269     0.031903  # 2001,W.P.Abfalterer+     ## 13794002
        1.1849       2.3339     0.032634  # 2001,W.P.Abfalterer+     ## 13794002
         1.187       2.2837     0.032557  # 2001,W.P.Abfalterer+     ## 13794002
         1.189          2.3     0.033113  # 2001,W.P.Abfalterer+     ## 13794002
         1.191        2.324     0.032359  # 2001,W.P.Abfalterer+     ## 13794002
        1.1931       2.3128     0.031534  # 2001,W.P.Abfalterer+     ## 13794002
        1.1951       2.3587     0.031956  # 2001,W.P.Abfalterer+     ## 13794002
        1.1971       2.2895     0.031386  # 2001,W.P.Abfalterer+     ## 13794002
        1.1992       2.2578     0.031013  # 2001,W.P.Abfalterer+     ## 13794002
        1.2012       2.2787     0.031177  # 2001,W.P.Abfalterer+     ## 13794002
        1.2033       2.2895     0.031273  # 2001,W.P.Abfalterer+     ## 13794002
        1.2054       2.3002     0.031289  # 2001,W.P.Abfalterer+     ## 13794002
        1.2074       2.2781     0.031105  # 2001,W.P.Abfalterer+     ## 13794002
        1.2095       2.3197     0.032142  # 2001,W.P.Abfalterer+     ## 13794002
        1.2116       2.3168     0.032179  # 2001,W.P.Abfalterer+     ## 13794002
        1.2137       2.2994     0.031941  # 2001,W.P.Abfalterer+     ## 13794002
        1.2158       2.3013     0.031282  # 2001,W.P.Abfalterer+     ## 13794002
        1.2179       2.2924     0.031245  # 2001,W.P.Abfalterer+     ## 13794002
          1.22       2.3555      0.03165  # 2001,W.P.Abfalterer+     ## 13794002
        1.2221       2.2864     0.031157  # 2001,W.P.Abfalterer+     ## 13794002
        1.2242       2.2308     0.030542  # 2001,W.P.Abfalterer+     ## 13794002
        1.2263        2.282     0.030462  # 2001,W.P.Abfalterer+     ## 13794002
        1.2285       2.2714     0.030156  # 2001,W.P.Abfalterer+     ## 13794002
